Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C38, C39, C43, C45",C_Disc_D4.3mm_W1.9mm_P5.00mm,5,0.01uF,
"C11, C37",CP_Radial_Tantal_D5.5mm_P5.00mm,2,4.7uF,
"C14, C15, C16, C17, C18, C19, C20, C21, C27, C4, C50, C51, C52",C_Disc_D4.3mm_W1.9mm_P5.00mm,13,0.1uF,
"C22, C23, C36",CP_Radial_D8.0mm_P5.00mm,3,100uF,
C26,C_Disc_D4.3mm_W1.9mm_P5.00mm,1,2.2nF,
"C30, C31, C32, C33, C44",C_Disc_D5.0mm_W2.5mm_P5.00mm,5,22nF,
"C35, C42",CP_Radial_D5.0mm_P2.50mm,2,10uF,
C40,C_Radial_Special,1,22pF,
C41,C_Disc_D3.0mm_W1.6mm_P2.50mm,1,33pF,
"C46, C60",C_Disc_D3.0mm_W2.0mm_P2.50mm,2,180pF,
"C47, C61, C65, C67, C70, C71, C72, C75, C76, C77",C_Disc_D3.0mm_W2.0mm_P2.50mm,10,100pF,
C48,C_Disc_D3.0mm_W2.0mm_P2.50mm,1,22pF,
"C49, C53, C54, C55, C56",C_Disc_D4.3mm_W1.9mm_P5.00mm,5,100nF,
"C68, C69, C73, C74",C_Disc_D4.7mm_W2.5mm_P5.00mm,4,100nF,
C78,CP_Radial_D8.0mm_P5.00mm,1,10uF,
"C97, C98",C_Disc_D3.0mm_W2.0mm_P2.50mm,2,33nF,
C99,C_Disc_D4.7mm_W2.5mm_P5.00mm,1,180pF,
"D1, D10, D11, D12, D2, D3, D4, D5, D6, D7, D8, D9",D_DO-35_SOD27_P12.70mm_Horizontal,12,1N914,
DL1,Delay_Line-V9663,1,390ns 1K1,
"IC1, IC2, IC3, IC4, IC5, IC6, IC7, IC8",DIP-16_W7.62mm,8,M3732H-20RS,
IC11,DIP-16_W7.62mm,1,MC14053,
IC12,DIP-40_W15.24mm,1,MC6847,
IC13,DIP-20_W7.62mm,1,74LS273N,
IC14,DIP-14_W7.62mm,1,74LS86AN,
IC15,DIP-40_W15.24mm,1,MC6883,
"IC16, IC24",DIP-20_W7.62mm,2,74LS244N,
"IC17, IC18",DIP-24_W15.24mm,2,68A364,
IC19,DIP-40_W15.24mm,1,MC6809E,
IC20,DIP-16_W7.62mm,1,MC14529B,
IC21,DIP-14_W7.62mm,1,74LS74,
IC22,DIP-14_W7.62mm,1,74LS00N,
IC23,DIP-14_W7.62mm,1,74ALS74N,
IC25,DIP-8_W7.62mm,1,LM393P,
"IC26, IC35",DIP-40_W15.24mm,2,MC6821,
IC27,DIP-14_W7.62mm,1,74LS20N,
"IC28, IC29",DIP-14_W7.62mm,2,74LS393N,
IC30,DIP-14_W7.62mm,1,74LS32N,
IC31,DIP-14_W7.62mm,1,74LS02N,
IC32,DIP-16_W7.62mm,1,74LS390,
IC33,DIP-16_W7.62mm,1,74LS138N,
