Designator,Mid X,Mid Y,Rotation,Layer
C1,107.2534,-67.6656,180.0,top
C11,193.167,-230.9114,180.0,top
C14,211.0232,-188.1886,0.0,top
C15,226.568,-188.1632,0.0,top
C16,242.5192,-188.1632,0.0,top
C17,258.2926,-188.1632,0.0,top
C18,210.3628,-214.7824,0.0,top
C19,226.2124,-214.7824,0.0,top
C20,242.57,-214.7824,0.0,top
C21,258.572,-214.7824,0.0,top
C22,317.968,-64.0334,0.0,top
C23,275.3722,-123.8504,0.0,top
C26,107.188,-90.6272,270.0,top
C27,111.3936,-101.1682,180.0,top
C30,119.7102,-149.6314,0.0,top
C31,119.7102,-152.7048,0.0,top
C32,119.7102,-143.51,0.0,top
C33,119.7102,-146.558,0.0,top
C35,150.094513,-114.2492,180.0,top
C36,188.650051,-102.362,180.0,top
C37,311.3532,-157.607,0.0,top
C38,121.7422,-101.1682,0.0,top
C39,117.7436,-67.6148,180.0,top
C4,130.429,-63.4238,0.0,top
C40,312.4454,-169.1259,0.0,top
C41,309.8038,-177.4444,0.0,top
C42,160.279913,-224.3582,180.0,top
C43,115.5084,-163.3474,180.0,top
C44,120.6246,-108.331,0.0,top
C45,136.7282,-222.3516,180.0,top
C46,210.312,-158.5214,0.0,top
C47,210.312,-161.3408,0.0,top
C48,141.4272,-114.5032,270.0,top
C49,189.2446,-131.4704,0.0,top
C50,298.2976,-95.4024,0.0,top
C51,300.7252,-157.5562,0.0,top
C52,297.8912,-56.642,0.0,top
C53,210.2504,-133.6294,180.0,top
C54,242.2144,-133.5786,180.0,top
C55,258.3072,-133.5278,180.0,top
C56,226.4048,-133.5024,180.0,top
C60,181.102,-141.605,90.0,top
C61,204.8764,-81.8642,180.0,top
C65,152.5978,-69.723,0.0,top
C67,235.351,-95.9358,0.0,top
C68,160.909,-83.2104,0.0,top
C69,160.6442,-77.6224,0.0,top
C70,205.0234,-97.536,0.0,top
C71,259.7658,-92.5322,180.0,top
C72,259.7712,-81.8388,180.0,top
C73,250.1646,-80.772,0.0,top
C74,249.849,-72.5678,0.0,top
C75,259.6642,-87.5284,180.0,top
C76,235.2548,-67.1576,0.0,top
C77,235.331,-89.8398,0.0,top
C78,204.829851,-91.0844,180.0,top
C97,282.575,-121.178,90.0,top
C98,235.2548,-76.8804,270.0,top
C99,235.4072,-110.3376,90.0,top
D1,118.7704,-77.2668,180.0,top
D10,277.495,-113.6396,180.0,top
D11,277.4696,-98.4758,0.0,top
D12,277.4696,-111.125,180.0,top
D2,109.728,-88.773,90.0,top
D3,112.2426,-88.773,270.0,top
D4,133.5278,-57.8358,0.0,top
D5,133.5278,-60.6298,0.0,top
D6,133.5278,-55.0672,180.0,top
D7,116.7638,-116.8654,0.0,top
D8,147.7518,-129.3876,0.0,top
D9,147.7518,-124.3076,180.0,top
DL1,184.8993,-80.3402,0.0,top
IC1,210.2866,-201.422,0.0,top
